GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SSLContext Kickstart,nl.altindag.sslcontext.exception,GenericSecurityException,0,13,0,0,0,6,0,3,0,3
SSLContext Kickstart,nl.altindag.sslcontext.exception,GenericKeyStoreException,0,13,0,0,0,6,0,3,0,3
SSLContext Kickstart,nl.altindag.sslcontext.exception,GenericSSLContextException,0,4,0,0,0,2,0,1,0,1
SSLContext Kickstart,nl.altindag.sslcontext.socket,CompositeSSLServerSocketFactory,0,67,0,2,0,18,0,9,0,8
SSLContext Kickstart,nl.altindag.sslcontext.socket,CompositeSSLSocketFactory,0,104,0,2,0,24,0,12,0,11
SSLContext Kickstart,nl.altindag.sslcontext.trustmanager,CompositeX509ExtendedTrustManager,0,341,0,24,0,84,0,24,0,12
SSLContext Kickstart,nl.altindag.sslcontext.trustmanager,CompositeX509ExtendedTrustManager.Builder,0,67,0,2,0,15,0,9,0,8
SSLContext Kickstart,nl.altindag.sslcontext.trustmanager,X509TrustManagerWrapper,0,48,0,0,0,16,0,8,0,8
SSLContext Kickstart,nl.altindag.sslcontext.trustmanager,UnsafeX509ExtendedTrustManager,0,79,0,12,0,22,0,14,0,8
SSLContext Kickstart,nl.altindag.sslcontext,SSLFactory.Builder,0,656,0,58,0,152,0,73,0,44
SSLContext Kickstart,nl.altindag.sslcontext,SSLFactory,0,350,0,12,0,90,0,32,0,26
SSLContext Kickstart,nl.altindag.sslcontext.keymanager,CompositeX509ExtendedKeyManager,0,241,0,32,0,54,0,30,0,14
SSLContext Kickstart,nl.altindag.sslcontext.keymanager,CompositeX509ExtendedKeyManager.Builder,0,63,0,2,0,13,0,8,0,7
SSLContext Kickstart,nl.altindag.sslcontext.keymanager,X509KeyManagerWrapper,0,58,0,0,0,11,0,9,0,9
SSLContext Kickstart,nl.altindag.sslcontext.model,KeyStoreHolder,0,38,0,0,0,13,0,5,0,5
SSLContext Kickstart,nl.altindag.sslcontext.util,TrustManagerUtils,0,145,0,4,0,42,0,16,0,14
SSLContext Kickstart,nl.altindag.sslcontext.util,IOUtils,0,26,0,0,0,4,0,1,0,1
SSLContext Kickstart,nl.altindag.sslcontext.util,CertificateUtils,0,133,0,6,0,30,0,13,0,10
SSLContext Kickstart,nl.altindag.sslcontext.util,KeyStoreUtils,0,188,0,10,0,43,0,19,0,14
SSLContext Kickstart,nl.altindag.sslcontext.util,KeyManagerUtils,0,125,0,4,0,33,0,14,0,12
